DATE,TIME,DEMAND
02-Mar-05,21:45,12
02-Mar-05,22:00,9
03-Mar-05,6:30,2
03-Mar-05,6:45,2
03-Mar-05,7:00,7
03-Mar-05,7:15,4
03-Mar-05,7:30,11
03-Mar-05,7:45,6
03-Mar-05,8:00,17
03-Mar-05,8:15,15
03-Mar-05,8:30,24
03-Mar-05,8:45,11
03-Mar-05,9:00,15
03-Mar-05,9:15,18
03-Mar-05,9:30,20
03-Mar-05,9:45,19
03-Mar-05,10:00,26
03-Mar-05,10:15,25
03-Mar-05,10:30,33
03-Mar-05,10:45,18
03-Mar-05,11:00,23
03-Mar-05,11:15,33
03-Mar-05,11:30,35
03-Mar-05,11:45,39
03-Mar-05,12:00,45
03-Mar-05,12:15,36
03-Mar-05,12:30,37
03-Mar-05,12:45,49
03-Mar-05,13:00,48
03-Mar-05,13:15,45
03-Mar-05,13:30,45
03-Mar-05,13:45,48
03-Mar-05,14:00,54
03-Mar-05,14:15,35
03-Mar-05,14:30,27
03-Mar-05,14:45,30
03-Mar-05,15:00,26
03-Mar-05,15:15,30
03-Mar-05,15:30,30
03-Mar-05,15:45,24
03-Mar-05,16:00,22
03-Mar-05,16:15,19
03-Mar-05,16:30,27
03-Mar-05,16:45,24
03-Mar-05,17:00,33
03-Mar-05,17:15,39
03-Mar-05,17:30,30
03-Mar-05,17:45,48
03-Mar-05,18:00,45
03-Mar-05,18:15,77
03-Mar-05,18:30,87
03-Mar-05,18:45,87
03-Mar-05,19:00,61
03-Mar-05,19:15,69
03-Mar-05,19:30,81
03-Mar-05,19:45,68
03-Mar-05,20:00,54
03-Mar-05,20:15,38
03-Mar-05,20:30,39
03-Mar-05,20:45,35
03-Mar-05,21:00,21
03-Mar-05,21:15,28
03-Mar-05,21:30,15
03-Mar-05,21:45,11
03-Mar-05,22:00,3
04-Mar-05,6:30,2
04-Mar-05,6:45,1
04-Mar-05,7:00,3
04-Mar-05,7:15,5
04-Mar-05,7:30,9
04-Mar-05,7:45,7
04-Mar-05,8:00,14
04-Mar-05,8:15,8
04-Mar-05,8:30,5
04-Mar-05,8:45,10
04-Mar-05,9:00,12
04-Mar-05,9:15,22
04-Mar-05,9:30,15
04-Mar-05,9:45,24
04-Mar-05,10:00,16
04-Mar-05,10:15,28
04-Mar-05,10:30,20
04-Mar-05,10:45,22
04-Mar-05,11:00,33
04-Mar-05,11:15,32
04-Mar-05,11:30,26
04-Mar-05,11:45,33
04-Mar-05,12:00,34
04-Mar-05,12:15,47
04-Mar-05,12:30,35
04-Mar-05,12:45,39
04-Mar-05,13:00,37
04-Mar-05,13:15,43
04-Mar-05,13:30,50
04-Mar-05,13:45,53
04-Mar-05,14:00,45
04-Mar-05,14:15,37
04-Mar-05,14:30,47
04-Mar-05,14:45,39
04-Mar-05,15:00,34
04-Mar-05,15:15,39
04-Mar-05,15:30,39
04-Mar-05,15:45,32
04-Mar-05,16:00,24
04-Mar-05,16:15,39
04-Mar-05,16:30,36
04-Mar-05,16:45,41
04-Mar-05,17:00,51
04-Mar-05,17:15,57
04-Mar-05,17:30,67
04-Mar-05,17:45,49
04-Mar-05,18:00,62
04-Mar-05,18:15,51
04-Mar-05,18:30,50
04-Mar-05,18:45,57
04-Mar-05,19:00,54
04-Mar-05,19:15,58
04-Mar-05,19:30,47
04-Mar-05,19:45,38
04-Mar-05,20:00,45
04-Mar-05,20:15,31
04-Mar-05,20:30,41
04-Mar-05,20:45,30
04-Mar-05,21:00,28
04-Mar-05,21:15,26
04-Mar-05,21:30,16
04-Mar-05,21:45,13
04-Mar-05,22:00,5
05-Mar-05,6:30,0
05-Mar-05,6:45,1
05-Mar-05,7:00,1
05-Mar-05,7:15,1
05-Mar-05,7:30,2
05-Mar-05,7:45,1
05-Mar-05,8:00,4
05-Mar-05,8:15,0
05-Mar-05,8:30,5
05-Mar-05,8:45,1
05-Mar-05,9:00,3
05-Mar-05,9:15,2
05-Mar-05,9:30,3
05-Mar-05,9:45,2
05-Mar-05,10:00,5
05-Mar-05,10:15,3
05-Mar-05,10:30,3
05-Mar-05,10:45,6
05-Mar-05,11:00,2
05-Mar-05,11:15,3
05-Mar-05,11:30,6
05-Mar-05,11:45,10
05-Mar-05,12:00,8
05-Mar-05,12:15,4
05-Mar-05,12:30,6
05-Mar-05,12:45,9
05-Mar-05,13:00,9
05-Mar-05,13:15,14
05-Mar-05,13:30,14
05-Mar-05,13:45,10
05-Mar-05,14:00,12
05-Mar-05,14:15,5
05-Mar-05,14:30,9
05-Mar-05,14:45,8
05-Mar-05,15:00,11
05-Mar-05,15:15,5
05-Mar-05,15:30,7
05-Mar-05,15:45,3
05-Mar-05,16:00,7
05-Mar-05,16:15,6
05-Mar-05,16:30,2
05-Mar-05,16:45,2
05-Mar-05,17:00,1
05-Mar-05,17:15,3
05-Mar-05,17:30,2
05-Mar-05,17:45,9
05-Mar-05,18:00,4
05-Mar-05,18:15,1
05-Mar-05,18:30,3
05-Mar-05,18:45,2
05-Mar-05,19:00,3
05-Mar-05,19:15,2
05-Mar-05,19:30,3
05-Mar-05,19:45,2
05-Mar-05,20:00,3
05-Mar-05,20:15,0
05-Mar-05,20:30,1
05-Mar-05,20:45,2
05-Mar-05,21:00,4
05-Mar-05,21:15,0
05-Mar-05,21:30,4
05-Mar-05,21:45,0
05-Mar-05,22:00,0
06-Mar-05,6:30,0
06-Mar-05,6:45,0
06-Mar-05,7:00,0
06-Mar-05,7:15,0
06-Mar-05,7:30,0
06-Mar-05,7:45,0
06-Mar-05,8:00,0
06-Mar-05,8:15,0
06-Mar-05,8:30,0
06-Mar-05,8:45,0
06-Mar-05,9:00,0
06-Mar-05,9:15,0
06-Mar-05,9:30,0
06-Mar-05,9:45,2
06-Mar-05,10:00,0
06-Mar-05,10:15,1
06-Mar-05,10:30,1
06-Mar-05,10:45,0
06-Mar-05,11:00,0
06-Mar-05,11:15,0
06-Mar-05,11:30,0
06-Mar-05,11:45,5
06-Mar-05,12:00,1
06-Mar-05,12:15,1
06-Mar-05,12:30,1
06-Mar-05,12:45,2
06-Mar-05,13:00,1
06-Mar-05,13:15,1
06-Mar-05,13:30,0
06-Mar-05,13:45,3
06-Mar-05,14:00,1
06-Mar-05,14:15,1
06-Mar-05,14:30,1
06-Mar-05,14:45,1
06-Mar-05,15:00,4
06-Mar-05,15:15,0
06-Mar-05,15:30,2
06-Mar-05,15:45,2
06-Mar-05,16:00,2
06-Mar-05,16:15,2
06-Mar-05,16:30,4
06-Mar-05,16:45,0
06-Mar-05,17:00,0
06-Mar-05,17:15,1
06-Mar-05,17:30,1
06-Mar-05,17:45,1
06-Mar-05,18:00,2
06-Mar-05,18:15,0
06-Mar-05,18:30,5
06-Mar-05,18:45,2
06-Mar-05,19:00,3
06-Mar-05,19:15,3
06-Mar-05,19:30,4
06-Mar-05,19:45,1
06-Mar-05,20:00,3
06-Mar-05,20:15,4
06-Mar-05,20:30,0
06-Mar-05,20:45,0
06-Mar-05,21:00,0
06-Mar-05,21:15,4
06-Mar-05,21:30,1
06-Mar-05,21:45,0
06-Mar-05,22:00,0
07-Mar-05,6:30,4
07-Mar-05,6:45,2
07-Mar-05,7:00,3
07-Mar-05,7:15,7
07-Mar-05,7:30,12
07-Mar-05,7:45,18
07-Mar-05,8:00,25
07-Mar-05,8:15,16
07-Mar-05,8:30,17
07-Mar-05,8:45,18
07-Mar-05,9:00,20
07-Mar-05,9:15,17
07-Mar-05,9:30,14
07-Mar-05,9:45,16
07-Mar-05,10:00,19
07-Mar-05,10:15,20
07-Mar-05,10:30,24
07-Mar-05,10:45,37
07-Mar-05,11:00,32
07-Mar-05,11:15,37
07-Mar-05,11:30,31
07-Mar-05,11:45,37
07-Mar-05,12:00,31
07-Mar-05,12:15,41
07-Mar-05,12:30,46
07-Mar-05,12:45,45
07-Mar-05,13:00,54
07-Mar-05,13:15,53
07-Mar-05,13:30,75
07-Mar-05,13:45,54
07-Mar-05,14:00,50
07-Mar-05,14:15,70
07-Mar-05,14:30,43
07-Mar-05,14:45,35
07-Mar-05,15:00,31
07-Mar-05,15:15,33
07-Mar-05,15:30,45
07-Mar-05,15:45,32
07-Mar-05,16:00,37
07-Mar-05,16:15,44
07-Mar-05,16:30,35
07-Mar-05,16:45,41
07-Mar-05,17:00,38
07-Mar-05,17:15,52
07-Mar-05,17:30,48
07-Mar-05,17:45,59
07-Mar-05,18:00,66
07-Mar-05,18:15,100
07-Mar-05,18:30,115
07-Mar-05,18:45,136
07-Mar-05,19:00,100
07-Mar-05,19:15,90
07-Mar-05,19:30,71
07-Mar-05,19:45,70
07-Mar-05,20:00,69
07-Mar-05,20:15,55
07-Mar-05,20:30,50
07-Mar-05,20:45,42
07-Mar-05,21:00,20
07-Mar-05,21:15,22
07-Mar-05,21:30,18
07-Mar-05,21:45,14
07-Mar-05,22:00,7
08-Mar-05,6:30,5
08-Mar-05,6:45,3
08-Mar-05,7:00,1
08-Mar-05,7:15,8
08-Mar-05,7:30,6
08-Mar-05,7:45,11
08-Mar-05,8:00,18
08-Mar-05,8:15,6
08-Mar-05,8:30,12
08-Mar-05,8:45,20
08-Mar-05,9:00,20
08-Mar-05,9:15,27
08-Mar-05,9:30,22
08-Mar-05,9:45,22
08-Mar-05,10:00,32
08-Mar-05,10:15,26
08-Mar-05,10:30,18
08-Mar-05,10:45,23
08-Mar-05,11:00,29
08-Mar-05,11:15,41
08-Mar-05,11:30,31
08-Mar-05,11:45,43
08-Mar-05,12:00,45
08-Mar-05,12:15,52
08-Mar-05,12:30,42
08-Mar-05,12:45,48
08-Mar-05,13:00,45
08-Mar-05,13:15,65
08-Mar-05,13:30,51
08-Mar-05,13:45,48
08-Mar-05,14:00,43
08-Mar-05,14:15,36
08-Mar-05,14:30,32
08-Mar-05,14:45,40
08-Mar-05,15:00,36
08-Mar-05,15:15,45
08-Mar-05,15:30,32
08-Mar-05,15:45,30
08-Mar-05,16:00,42
08-Mar-05,16:15,24
08-Mar-05,16:30,35
08-Mar-05,16:45,25
08-Mar-05,17:00,39
08-Mar-05,17:15,35
08-Mar-05,17:30,41
08-Mar-05,17:45,53
08-Mar-05,18:00,63
08-Mar-05,18:15,89
08-Mar-05,18:30,98
08-Mar-05,18:45,91
08-Mar-05,19:00,77
08-Mar-05,19:15,80
08-Mar-05,19:30,64
08-Mar-05,19:45,67
08-Mar-05,20:00,40
08-Mar-05,20:15,55
08-Mar-05,20:30,48
08-Mar-05,20:45,33
08-Mar-05,21:00,31
08-Mar-05,21:15,27
08-Mar-05,21:30,19
08-Mar-05,21:45,15
08-Mar-05,22:00,4
09-Mar-05,6:30,1
09-Mar-05,6:45,1
09-Mar-05,7:00,2
09-Mar-05,7:15,4
09-Mar-05,7:30,12
09-Mar-05,7:45,15
09-Mar-05,8:00,11
09-Mar-05,8:15,20
09-Mar-05,8:30,15
09-Mar-05,8:45,15
09-Mar-05,9:00,17
09-Mar-05,9:15,21
09-Mar-05,9:30,14
09-Mar-05,9:45,14
09-Mar-05,10:00,20
09-Mar-05,10:15,20
09-Mar-05,10:30,29
09-Mar-05,10:45,22
09-Mar-05,11:00,29
09-Mar-05,11:15,19
09-Mar-05,11:30,30
09-Mar-05,11:45,24
09-Mar-05,12:00,42
09-Mar-05,12:15,37
09-Mar-05,12:30,31
09-Mar-05,12:45,48
09-Mar-05,13:00,44
09-Mar-05,13:15,37
09-Mar-05,13:30,38
09-Mar-05,13:45,56
09-Mar-05,14:00,42
09-Mar-05,14:15,50
09-Mar-05,14:30,45
09-Mar-05,14:45,32
09-Mar-05,15:00,50
09-Mar-05,15:15,36
09-Mar-05,15:30,39
09-Mar-05,15:45,26
09-Mar-05,16:00,22
09-Mar-05,16:15,31
09-Mar-05,16:30,34
09-Mar-05,16:45,25
09-Mar-05,17:00,34
09-Mar-05,17:15,35
09-Mar-05,17:30,38
09-Mar-05,17:45,55
09-Mar-05,18:00,66
09-Mar-05,18:15,74
09-Mar-05,18:30,76
09-Mar-05,18:45,93
09-Mar-05,19:00,95
09-Mar-05,19:15,63
09-Mar-05,19:30,54
09-Mar-05,19:45,59
09-Mar-05,20:00,57
09-Mar-05,20:15,60
09-Mar-05,20:30,45
09-Mar-05,20:45,40
09-Mar-05,21:00,27
09-Mar-05,21:15,28
09-Mar-05,21:30,19
09-Mar-05,21:45,11
09-Mar-05,22:00,6
10-Mar-05,6:30,0
10-Mar-05,6:45,2
10-Mar-05,7:00,2
10-Mar-05,7:15,8
10-Mar-05,7:30,7
10-Mar-05,7:45,9
10-Mar-05,8:00,13
10-Mar-05,8:15,14
10-Mar-05,8:30,15
10-Mar-05,8:45,18
10-Mar-05,9:00,10
10-Mar-05,9:15,26
10-Mar-05,9:30,15
10-Mar-05,9:45,17
10-Mar-05,10:00,13
10-Mar-05,10:15,18
10-Mar-05,10:30,22
10-Mar-05,10:45,35
10-Mar-05,11:00,37
10-Mar-05,11:15,30
10-Mar-05,11:30,29
10-Mar-05,11:45,36
10-Mar-05,12:00,40
10-Mar-05,12:15,31
10-Mar-05,12:30,34
10-Mar-05,12:45,49
10-Mar-05,13:00,51
10-Mar-05,13:15,47
10-Mar-05,13:30,41
10-Mar-05,13:45,53
10-Mar-05,14:00,48
10-Mar-05,14:15,55
10-Mar-05,14:30,31
10-Mar-05,14:45,35
10-Mar-05,15:00,31
10-Mar-05,15:15,33
10-Mar-05,15:30,27
10-Mar-05,15:45,39
10-Mar-05,16:00,28
10-Mar-05,16:15,30
10-Mar-05,16:30,35
10-Mar-05,16:45,30
10-Mar-05,17:00,32
10-Mar-05,17:15,31
10-Mar-05,17:30,44
10-Mar-05,17:45,48
10-Mar-05,18:00,57
10-Mar-05,18:15,74
10-Mar-05,18:30,77
10-Mar-05,18:45,89
10-Mar-05,19:00,69
10-Mar-05,19:15,83
10-Mar-05,19:30,44
10-Mar-05,19:45,59
10-Mar-05,20:00,46
10-Mar-05,20:15,39
10-Mar-05,20:30,36
10-Mar-05,20:45,33
10-Mar-05,21:00,39
10-Mar-05,21:15,35
10-Mar-05,21:30,18
10-Mar-05,21:45,10
10-Mar-05,22:00,4
11-Mar-05,6:30,2
11-Mar-05,6:45,1
11-Mar-05,7:00,3
11-Mar-05,7:15,3
11-Mar-05,7:30,12
11-Mar-05,7:45,12
11-Mar-05,8:00,15
11-Mar-05,8:15,14
11-Mar-05,8:30,12
11-Mar-05,8:45,15
11-Mar-05,9:00,15
11-Mar-05,9:15,23
11-Mar-05,9:30,27
11-Mar-05,9:45,21
11-Mar-05,10:00,21
11-Mar-05,10:15,21
11-Mar-05,10:30,21
11-Mar-05,10:45,24
11-Mar-05,11:00,26
11-Mar-05,11:15,30
11-Mar-05,11:30,37
11-Mar-05,11:45,30
11-Mar-05,12:00,38
11-Mar-05,12:15,44
11-Mar-05,12:30,55
11-Mar-05,12:45,52
11-Mar-05,13:00,38
11-Mar-05,13:15,42
11-Mar-05,13:30,42
11-Mar-05,13:45,53
11-Mar-05,14:00,40
11-Mar-05,14:15,55
11-Mar-05,14:30,35
11-Mar-05,14:45,40
11-Mar-05,15:00,31
11-Mar-05,15:15,44
11-Mar-05,15:30,22
11-Mar-05,15:45,34
11-Mar-05,16:00,36
11-Mar-05,16:15,38
11-Mar-05,16:30,34
11-Mar-05,16:45,47
11-Mar-05,17:00,47
11-Mar-05,17:15,67
11-Mar-05,17:30,45
11-Mar-05,17:45,47
11-Mar-05,18:00,56
11-Mar-05,18:15,66
11-Mar-05,18:30,48
11-Mar-05,18:45,55
11-Mar-05,19:00,52
11-Mar-05,19:15,51
11-Mar-05,19:30,39
11-Mar-05,19:45,47
11-Mar-05,20:00,38
11-Mar-05,20:15,26
11-Mar-05,20:30,28
11-Mar-05,20:45,27
11-Mar-05,21:00,24
11-Mar-05,21:15,16
11-Mar-05,21:30,10
11-Mar-05,21:45,7
11-Mar-05,22:00,4
12-Mar-05,6:30,2
12-Mar-05,6:45,1
12-Mar-05,7:00,3
12-Mar-05,7:15,0
12-Mar-05,7:30,1
12-Mar-05,7:45,3
12-Mar-05,8:00,3
12-Mar-05,8:15,1
12-Mar-05,8:30,4
12-Mar-05,8:45,1
12-Mar-05,9:00,3
12-Mar-05,9:15,5
12-Mar-05,9:30,3
12-Mar-05,9:45,5
12-Mar-05,10:00,1
12-Mar-05,10:15,4
12-Mar-05,10:30,3
12-Mar-05,10:45,6
12-Mar-05,11:00,4
12-Mar-05,11:15,2
12-Mar-05,11:30,6
12-Mar-05,11:45,6
12-Mar-05,12:00,2
12-Mar-05,12:15,9
12-Mar-05,12:30,7
12-Mar-05,12:45,14
12-Mar-05,13:00,10
12-Mar-05,13:15,6
12-Mar-05,13:30,12
12-Mar-05,13:45,9
12-Mar-05,14:00,9
12-Mar-05,14:15,9
12-Mar-05,14:30,5
12-Mar-05,14:45,5
12-Mar-05,15:00,7
12-Mar-05,15:15,10
12-Mar-05,15:30,5
12-Mar-05,15:45,5
12-Mar-05,16:00,4
12-Mar-05,16:15,3
12-Mar-05,16:30,1
12-Mar-05,16:45,3
12-Mar-05,17:00,6
12-Mar-05,17:15,2
12-Mar-05,17:30,6
12-Mar-05,17:45,1
12-Mar-05,18:00,5
12-Mar-05,18:15,9
12-Mar-05,18:30,2
12-Mar-05,18:45,3
12-Mar-05,19:00,1
12-Mar-05,19:15,3
12-Mar-05,19:30,1
12-Mar-05,19:45,2
12-Mar-05,20:00,0
12-Mar-05,20:15,3
12-Mar-05,20:30,2
12-Mar-05,20:45,2
12-Mar-05,21:00,1
12-Mar-05,21:15,2
12-Mar-05,21:30,1
12-Mar-05,21:45,0
12-Mar-05,22:00,0
13-Mar-05,6:30,0
13-Mar-05,6:45,0
13-Mar-05,7:00,0
13-Mar-05,7:15,0
13-Mar-05,7:30,0
13-Mar-05,7:45,0
13-Mar-05,8:00,0
13-Mar-05,8:15,1
13-Mar-05,8:30,0
13-Mar-05,8:45,0
13-Mar-05,9:00,0
13-Mar-05,9:15,1
13-Mar-05,9:30,0
13-Mar-05,9:45,0
13-Mar-05,10:00,2
13-Mar-05,10:15,0
13-Mar-05,10:30,0
13-Mar-05,10:45,1
13-Mar-05,11:00,2
13-Mar-05,11:15,0
13-Mar-05,11:30,1
13-Mar-05,11:45,1
13-Mar-05,12:00,2
13-Mar-05,12:15,1
13-Mar-05,12:30,2
13-Mar-05,12:45,2
13-Mar-05,13:00,3
13-Mar-05,13:15,3
13-Mar-05,13:30,0
13-Mar-05,13:45,2
13-Mar-05,14:00,2
13-Mar-05,14:15,2
13-Mar-05,14:30,0
13-Mar-05,14:45,2
13-Mar-05,15:00,4
13-Mar-05,15:15,1
13-Mar-05,15:30,0
13-Mar-05,15:45,0
13-Mar-05,16:00,3
13-Mar-05,16:15,1
13-Mar-05,16:30,1
13-Mar-05,16:45,1
13-Mar-05,17:00,4
13-Mar-05,17:15,3
13-Mar-05,17:30,1
13-Mar-05,17:45,1
13-Mar-05,18:00,0
13-Mar-05,18:15,2
13-Mar-05,18:30,0
13-Mar-05,18:45,0
13-Mar-05,19:00,1
13-Mar-05,19:15,2
13-Mar-05,19:30,4
13-Mar-05,19:45,0
13-Mar-05,20:00,1
13-Mar-05,20:15,3
13-Mar-05,20:30,1
13-Mar-05,20:45,1
13-Mar-05,21:00,1
13-Mar-05,21:15,1
13-Mar-05,21:30,0
13-Mar-05,21:45,0
13-Mar-05,22:00,0
14-Mar-05,6:30,2
14-Mar-05,6:45,3
14-Mar-05,7:00,8
14-Mar-05,7:15,7
14-Mar-05,7:30,11
14-Mar-05,7:45,17
14-Mar-05,8:00,26
14-Mar-05,8:15,20
14-Mar-05,8:30,19
14-Mar-05,8:45,17
14-Mar-05,9:00,22
14-Mar-05,9:15,24
14-Mar-05,9:30,27
14-Mar-05,9:45,26
14-Mar-05,10:00,24
14-Mar-05,10:15,28
14-Mar-05,10:30,32
14-Mar-05,10:45,29
14-Mar-05,11:00,27
14-Mar-05,11:15,36
14-Mar-05,11:30,30
14-Mar-05,11:45,35
14-Mar-05,12:00,49
14-Mar-05,12:15,38
14-Mar-05,12:30,50
14-Mar-05,12:45,49
14-Mar-05,13:00,57
14-Mar-05,13:15,45
14-Mar-05,13:30,59
14-Mar-05,13:45,51
14-Mar-05,14:00,40
14-Mar-05,14:15,52
14-Mar-05,14:30,53
14-Mar-05,14:45,42
14-Mar-05,15:00,38
14-Mar-05,15:15,37
14-Mar-05,15:30,34
14-Mar-05,15:45,47
14-Mar-05,16:00,26
14-Mar-05,16:15,35
14-Mar-05,16:30,26
14-Mar-05,16:45,39
14-Mar-05,17:00,30
14-Mar-05,17:15,47
14-Mar-05,17:30,55
14-Mar-05,17:45,70
14-Mar-05,18:00,62
14-Mar-05,18:15,113
14-Mar-05,18:30,108
14-Mar-05,18:45,116
14-Mar-05,19:00,98
14-Mar-05,19:15,91
14-Mar-05,19:30,77
14-Mar-05,19:45,62
14-Mar-05,20:00,56
14-Mar-05,20:15,54
14-Mar-05,20:30,42
14-Mar-05,20:45,23
14-Mar-05,21:00,23
14-Mar-05,21:15,28
14-Mar-05,21:30,13
14-Mar-05,21:45,7
14-Mar-05,22:00,7
15-Mar-05,6:30,0
15-Mar-05,6:45,2
15-Mar-05,7:00,4
15-Mar-05,7:15,7
15-Mar-05,7:30,13
15-Mar-05,7:45,11
15-Mar-05,8:00,18
15-Mar-05,8:15,21
15-Mar-05,8:30,19
15-Mar-05,8:45,12
15-Mar-05,9:00,12
15-Mar-05,9:15,19
15-Mar-05,9:30,27
15-Mar-05,9:45,18
15-Mar-05,10:00,20
15-Mar-05,10:15,24
15-Mar-05,10:30,29
15-Mar-05,10:45,25
15-Mar-05,11:00,38
15-Mar-05,11:15,43
15-Mar-05,11:30,49
15-Mar-05,11:45,33
15-Mar-05,12:00,42
15-Mar-05,12:15,39
15-Mar-05,12:30,45
15-Mar-05,12:45,46
15-Mar-05,13:00,54
15-Mar-05,13:15,64
15-Mar-05,13:30,57
15-Mar-05,13:45,64
15-Mar-05,14:00,36
15-Mar-05,14:15,42
15-Mar-05,14:30,44
15-Mar-05,14:45,33
15-Mar-05,15:00,45
15-Mar-05,15:15,27
15-Mar-05,15:30,35
15-Mar-05,15:45,40
15-Mar-05,16:00,39
15-Mar-05,16:15,38
15-Mar-05,16:30,29
15-Mar-05,16:45,35
15-Mar-05,17:00,34
15-Mar-05,17:15,39
15-Mar-05,17:30,41
15-Mar-05,17:45,58
15-Mar-05,18:00,66
15-Mar-05,18:15,92
15-Mar-05,18:30,115
15-Mar-05,18:45,110
15-Mar-05,19:00,95
15-Mar-05,19:15,83
15-Mar-05,19:30,88
15-Mar-05,19:45,43
15-Mar-05,20:00,50
15-Mar-05,20:15,47
15-Mar-05,20:30,50
15-Mar-05,20:45,40
15-Mar-05,21:00,34
15-Mar-05,21:15,23
15-Mar-05,21:30,19
15-Mar-05,21:45,12
15-Mar-05,22:00,9
16-Mar-05,6:30,1
16-Mar-05,6:45,6
16-Mar-05,7:00,1
16-Mar-05,7:15,6
16-Mar-05,7:30,12
16-Mar-05,7:45,11
16-Mar-05,8:00,14
16-Mar-05,8:15,18
16-Mar-05,8:30,14
16-Mar-05,8:45,13
16-Mar-05,9:00,16
16-Mar-05,9:15,30
16-Mar-05,9:30,21
16-Mar-05,9:45,20
16-Mar-05,10:00,16
16-Mar-05,10:15,30
16-Mar-05,10:30,19
16-Mar-05,10:45,30
16-Mar-05,11:00,29
16-Mar-05,11:15,38
16-Mar-05,11:30,23
16-Mar-05,11:45,33
16-Mar-05,12:00,23
16-Mar-05,12:15,40
16-Mar-05,12:30,37
16-Mar-05,12:45,36
16-Mar-05,13:00,46
16-Mar-05,13:15,40
16-Mar-05,13:30,34
16-Mar-05,13:45,54
16-Mar-05,14:00,28
16-Mar-05,14:15,42
16-Mar-05,14:30,48
16-Mar-05,14:45,49
16-Mar-05,15:00,36
16-Mar-05,15:15,40
16-Mar-05,15:30,31
16-Mar-05,15:45,28
16-Mar-05,16:00,34
16-Mar-05,16:15,24
16-Mar-05,16:30,26
16-Mar-05,16:45,30
16-Mar-05,17:00,30
16-Mar-05,17:15,29
16-Mar-05,17:30,47
16-Mar-05,17:45,47
16-Mar-05,18:00,62
16-Mar-05,18:15,83
16-Mar-05,18:30,122
16-Mar-05,18:45,83
16-Mar-05,19:00,86
16-Mar-05,19:15,71
16-Mar-05,19:30,66
